;Restaurant;Avis;type_cuisine;fourchette_prix;link;type_cuisine_1;type_cuisine_2;restaurants;note;localisation;lat;lon
317;375. Xieng Mai Bordeaux;62 avis;Chinoise, Asiatique;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d5888694-Reviews-Xieng_Mai-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Chinoise; Asiatique;375. Xieng Mai Bordeaux;4.5;[44.8422329, -0.5995137];44.8422329;-0.5995137
318;376. La Vie là;262 avis;Italienne, Méditerranéenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d9851398-Reviews-La_Vie_la-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Italienne; Méditerranéenne;376. La Vie là;4.0;[44.850722, -0.569958];44.850722;-0.569958
319;377. Chez le Pépère Bordeaux;100 avis;Française, Bar à vins;€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d3677284-Reviews-Chez_le_Pepere-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Bar à vins;377. Chez le Pépère Bordeaux;4.5;[44.8405048, -0.5822201];44.8405048;-0.5822201
320;378. La Villa Gourmande Artigues près Bordeaux;192 avis;Française, Européenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g661224-d6451375-Reviews-La_Villa_Gourmande-Artigues_pres_Bordeaux_Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;378. La Villa Gourmande Artigues près Bordeaux;4.0;[44.8519122, -0.4801181];44.8519122;-0.4801181
321;381. Le P'tit Chez Moi;56 avis;Française;€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d10057913-Reviews-Le_P_tit_Chez_Moi-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française;;381. Le P'tit Chez Moi;5.0;[44.8508055, -0.5717847];44.8508055;-0.5717847
322;382. Le Potager;160 avis;Française, Européenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d7993281-Reviews-Le_Potager-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;382. Le Potager;4.0;[44.825488, -0.5573883];44.825488;-0.5573883
323;384. Le Jardin Pekinois;127 avis;Chinoise, Asiatique;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d8772128-Reviews-Le_Jardin_Pekinois-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Chinoise; Asiatique;384. Le Jardin Pekinois;4.5;[44.8370088, -0.5794471];44.8370088;-0.5794471
324;385. Ragazzi Da Peppone Mérignac;549 avis;Italienne, Méditerranéenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g207338-d8133744-Reviews-Ragazzi_Da_Peppone-Merignac_Bordeaux_Gironde_Nouvelle_Aquitaine.html;Italienne; Méditerranéenne;385. Ragazzi Da Peppone Mérignac;4.0;[44.841429, -0.6495774];44.841429;-0.6495774
325;389. Restaurant Le Petit Bois Bordeaux;198 avis;Française, Bar à vins;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d798732-Reviews-Le_Petit_Bois-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Bar à vins;389. Restaurant Le Petit Bois Bordeaux;4.0;[44.83928, -0.5690593];44.83928;-0.5690593
326;390. Crêperie Chez Sergio Bordeaux;66 avis;Française;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d19262106-Reviews-Creperie_Chez_Sergio-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française;;390. Crêperie Chez Sergio Bordeaux;4.5;[44.8412476, -0.5733888];44.8412476;-0.5733888
327;392. CPP Pasta & Pizza Bordeaux;390 avis;Italienne, Européenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d1325432-Reviews-CPP_Pasta_Pizza-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Italienne; Européenne;392. CPP Pasta & Pizza Bordeaux;4.0;[44.8349112, -0.5746334];44.8349112;-0.5746334
328;393. Umami Ramen Bordeaux;258 avis;Japonaise, Asiatique;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d9593998-Reviews-Umami_Ramen-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Japonaise; Asiatique;393. Umami Ramen Bordeaux;4.0;[44.8368638, -0.5717557];44.8368638;-0.5717557
329;394. Le Murano;534 avis;Italienne, Méditerranéenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d6495520-Reviews-Le_Murano-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Italienne; Méditerranéenne;394. Le Murano;4.0;[44.8421774, -0.5725738];44.8421774;-0.5725738
330;396. Bread Storming Bordeaux;69 avis;NaN;NaN;https://www.tripadvisor.fr/Restaurant_Review-g187079-d5800558-Reviews-Bread_Storming-Bordeaux_Gironde_Nouvelle_Aquitaine.html;NaN;;396. Bread Storming Bordeaux;4.5;[44.8504278, -0.5721946];44.8504278;-0.5721946
331;398. L'Hédonique Bordeaux;79 avis;Française, Européenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d17277783-Reviews-L_Hedonique-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;398. L'Hédonique Bordeaux;4.5;[44.8521971, -0.5729888];44.8521971;-0.5729888
332;399. La Cantine Arkose;131 avis;Française, Moderne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d10317441-Reviews-La_Cantine_Arkose-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Moderne;399. La Cantine Arkose;4.5;[44.8631585, -0.5730512];44.8631585;-0.5730512
333;400. Le Bistromatic;128 avis;Française, Bar;€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d3680988-Reviews-Le_Bistromatic-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Bar;400. Le Bistromatic;4.5;[44.8466439, -0.5799476];44.8466439;-0.5799476
334;401. Banana Café Bordeaux;67 avis;Ferme dans 1 min;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d12458958-Reviews-Banana_Cafe-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Ferme dans 1 min;;401. Banana Café Bordeaux;4.5;[44.8360264, -0.5757433];44.8360264;-0.5757433
335;403. Le Buro des Possibles Bordeaux;74 avis;Française, Américaine;€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d12218819-Reviews-Le_Buro_des_Possibles-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Américaine;403. Le Buro des Possibles Bordeaux;4.5;[44.8334551, -0.5654003];44.8334551;-0.5654003
336;405. Restaurant L'Avenue Carnot Bordeaux;272 avis;Française;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d4951009-Reviews-L_Avenue_Carnot-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française;;405. Restaurant L'Avenue Carnot Bordeaux;4.0;[44.8509729, -0.5958758];44.8509729;-0.5958758
337;408. Pizzeria au Feu de Bois La Mama Bordeaux;447 avis;Italienne, Européenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d797071-Reviews-La_mama-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Italienne; Européenne;408. Pizzeria au Feu de Bois La Mama Bordeaux;3.5;[44.8399406, -0.5795636];44.8399406;-0.5795636
338;409. Ma Part des Anges Mérignac;112 avis;Bar à bières, Espagnole;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g207338-d9457620-Reviews-Ma_Part_Des_Anges-Merignac_Bordeaux_Gironde_Nouvelle_Aquitaine.html;Bar à bières; Espagnole;409. Ma Part des Anges Mérignac;4.5;[44.8411728, -0.6473998];44.8411728;-0.6473998
339;410. Molly Malone's Bordeaux;261 avis;Irlandaise, Bar;€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d1329326-Reviews-Molly_Malone_s-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Irlandaise; Bar;410. Molly Malone's Bordeaux;4.0;[44.8537543, -0.5667224];44.8537543;-0.5667224
340;412. Verre o Vin Bordeaux;162 avis;Française, Bar à vins;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d2699139-Reviews-Verre_o_Vin-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Bar à vins;412. Verre o Vin Bordeaux;4.5;[44.8545879, -0.5695927];44.8545879;-0.5695927
341;413. Brutus Bordeaux;35 avis;NaN;NaN;https://www.tripadvisor.fr/Restaurant_Review-g187079-d23448373-Reviews-Brutus_Bordeaux-Bordeaux_Gironde_Nouvelle_Aquitaine.html;NaN;;413. Brutus Bordeaux;5.0;[44.8384596, -0.5698523];44.8384596;-0.5698523
342;414. Comptoir ChocolaThé Bordeaux;59 avis;Café;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d8452276-Reviews-Comptoir_ChocolaThe-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Café;;414. Comptoir ChocolaThé Bordeaux;5.0;[44.8385862, -0.5768326];44.8385862;-0.5768326
343;415. Brasserie le Foch Bordeaux;63 avis;Française, Européenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d1329777-Reviews-Brasserie_le_Foch-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;415. Brasserie le Foch Bordeaux;4.5;[44.8474029, -0.5754234];44.8474029;-0.5754234
344;416. Restaurant Horace Bordeaux;162 avis;Française, Européenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d12870900-Reviews-Horace-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;416. Restaurant Horace Bordeaux;4.0;[44.8397024, -0.5788317];44.8397024;-0.5788317
345;417. Simone Cocktailerie & Cuisine Bordeaux;68 avis;Française, Fruits de mer & Poisson;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d15817136-Reviews-Simone_Cocktailerie_Cuisine-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Fruits de mer & Poisson;417. Simone Cocktailerie & Cuisine Bordeaux;4.5;[44.8435943, -0.5707097];44.8435943;-0.5707097
346;418. Le Bistrot du Bois Fleuri Lormont;76 avis;Française, Internationale;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g644083-d3605624-Reviews-Le_Bistrot_du_Bois_Fleuri-Lormont_Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Internationale;418. Le Bistrot du Bois Fleuri Lormont;4.5;[44.8782988, -0.5208541];44.8782988;-0.5208541
347;419. La Table de l'Epicier Restaurant Cave à Vins Bordeaux;30 avis;Française, Saine;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d21015990-Reviews-La_Table_de_l_Epicier-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Saine;419. La Table de l'Epicier Restaurant Cave à Vins Bordeaux;5.0;[44.841317, -0.5818995];44.841317;-0.5818995
348;420. Le Chiopot Bègles;383 avis;Française, Grillades;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g226847-d1199513-Reviews-Le_Chiopot-Begles_Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Grillades;420. Le Chiopot Bègles;4.0;[44.811305, -0.5336914];44.811305;-0.5336914
349;421. Café Brasserie L'Aéro Bordeaux;98 avis;Française;€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d3599737-Reviews-L_aero-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française;;421. Café Brasserie L'Aéro Bordeaux;4.5;[44.8422464, -0.571506];44.8422464;-0.571506
350;422. La collation;47 avis;Française, Américaine;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d20214755-Reviews-La_collation-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Américaine;422. La collation;4.5;[44.845902, -0.5789137];44.845902;-0.5789137
351;424. Restaurant Santosha Bordeaux;843 avis;Asiatique, Thaï;€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d1863305-Reviews-Santosha_Bordeaux-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Asiatique; Thaï;424. Restaurant Santosha Bordeaux;3.5;[44.8370443, -0.5715629];44.8370443;-0.5715629
352;425. The Golden Apple British Pub Bordeaux;84 avis;Britannique, Bar à bières;€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d1084859-Reviews-The_Golden_Apple-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Britannique; Bar à bières;425. The Golden Apple British Pub Bordeaux;4.5;[44.8545868, -0.5697613];44.8545868;-0.5697613
353;426. Restaurant Sambrosa Bordeaux;40 avis;Mexicaine;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d19394887-Reviews-Sambrosa-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Mexicaine;;426. Restaurant Sambrosa Bordeaux;4.5;[44.8389264, -0.5729078];44.8389264;-0.5729078
354;427. Restaurant Traiteur Au Petit Palais Bordeaux;89 avis;Française;€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d7205461-Reviews-Au_Petit_Palais-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française;;427. Restaurant Traiteur Au Petit Palais Bordeaux;4.5;[44.8341583, -0.5781697];44.8341583;-0.5781697
355;428. Food And The Game;70 avis;Saine, Française;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d11713889-Reviews-Food_And_The_Game-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Saine; Française;428. Food And The Game;4.5;[44.8308436, -0.5710167];44.8308436;-0.5710167
356;429. Arty Café Bordeaux;118 avis;Européenne, Française;€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d5797503-Reviews-Arty_Cafe-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Européenne; Française;429. Arty Café Bordeaux;4.5;[44.843055, -0.5813957];44.843055;-0.5813957
357;430. Le Bistrot des Frérots;52 avis;Bar à vins, Française;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d14214503-Reviews-Le_Bistrot_des_Frerots-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Bar à vins; Française;430. Le Bistrot des Frérots;5.0;[44.8409452, -0.5735885];44.8409452;-0.5735885
358;431. Goupil Restaurant Bar;30 avis;Française;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d19358217-Reviews-Goupil_Restaurant_Bar-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française;;431. Goupil Restaurant Bar;5.0;[44.8292017, -0.5600358];44.8292017;-0.5600358
359;432. Maison Mère Bordeaux;168 avis;Française, Bar;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d7812380-Reviews-Maison_Mere-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Bar;432. Maison Mère Bordeaux;4.0;[44.8418034, -0.5740285];44.8418034;-0.5740285
360;434. La Brasserie du Parc Gradignan;89 avis;Française, Bar;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g207337-d4560429-Reviews-La_Brasserie_du_Parc-Gradignan_Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Bar;434. La Brasserie du Parc Gradignan;4.0;[44.7705821, -0.6063468];44.7705821;-0.6063468
361;435. Glacerie Dumas Bordeaux;27 avis;Française;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d21186596-Reviews-Glacerie_Dumas-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française;;435. Glacerie Dumas Bordeaux;5.0;[44.8370373, -0.5728137];44.8370373;-0.5728137
362;437. 65 Degrés Bordeaux;27 avis;Saine, Française;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d21510173-Reviews-65_Degres-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Saine; Française;437. 65 Degrés Bordeaux;5.0;[44.836210949999995, -0.5758112821044056];44.836210949999995;-0.5758112821044056
363;438. Bao Burger Ramen Bordeaux;39 avis;Chinoise, Restauration rapide;€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d13550509-Reviews-Bao_Burger_Ramen-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Chinoise; Restauration rapide;438. Bao Burger Ramen Bordeaux;4.5;[44.8409373, -0.5736284];44.8409373;-0.5736284
364;439. Chez Max Bordeaux;74 avis;Française, Espagnole;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d14411878-Reviews-Chez_Max-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Espagnole;439. Chez Max Bordeaux;4.5;[44.8399873, -0.571462];44.8399873;-0.571462
365;442. Restaurant Banh MiaM Bordeaux;44 avis;Restauration rapide, Asiatique;€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d14979314-Reviews-Banh_MiaM-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Restauration rapide; Asiatique;442. Restaurant Banh MiaM Bordeaux;4.5;[44.8350892, -0.5666654];44.8350892;-0.5666654
366;443. Bistrot Spinoza;38 avis;Française, Bars-restaurants;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d23529193-Reviews-Bistrot_Spinoza-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Bars-restaurants;443. Bistrot Spinoza;5.0;[44.8635807, -0.5574232];44.8635807;-0.5574232
367;444. Les copains d'abord;72 avis;Française;€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d10487398-Reviews-Les_Copains_D_Abord-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française;;444. Les copains d'abord;4.5;[44.8332719, -0.5648502];44.8332719;-0.5648502
368;445. Restaurant Le Soufflet;200 avis;Française, Européenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d1055684-Reviews-Restaurant_Le_Soufflet-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;445. Restaurant Le Soufflet;4.0;[44.82522, -0.6144877];44.82522;-0.6144877
369;446. Restaurant Le Cosmopolis Bordeaux;155 avis;Européenne, Française;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d3809358-Reviews-Le_Cosmopolis-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Européenne; Française;446. Restaurant Le Cosmopolis Bordeaux;4.5;[44.8344756, -0.5676646];44.8344756;-0.5676646
370;447. Tendance Médoc Bordeaux;103 avis;Française, Européenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d6509791-Reviews-Tendance_Medoc-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;447. Tendance Médoc Bordeaux;4.0;[44.8622838, -0.5717639];44.8622838;-0.5717639
371;448. Excuse My French Café Bordeaux;64 avis;Restauration rapide, Britannique;€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d12675118-Reviews-Excuse_My_French_Cafe-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Restauration rapide; Britannique;448. Excuse My French Café Bordeaux;4.5;[44.8354368, -0.5677056];44.8354368;-0.5677056
372;449. Restaurant Traiteur Chez Vincent Bègles;235 avis;Française, Européenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g226847-d2093172-Reviews-Chez_Vincent-Begles_Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;449. Restaurant Traiteur Chez Vincent Bègles;4.0;[44.7990269, -0.5670366];44.7990269;-0.5670366
373;450. Le Mékong Pessac;83 avis;Vietnamienne, Asiatique;€;https://www.tripadvisor.fr/Restaurant_Review-g196515-d5614795-Reviews-Le_Mekong-Pessac_Bordeaux_Gironde_Nouvelle_Aquitaine.html;Vietnamienne; Asiatique;450. Le Mékong Pessac;4.5;[44.8093018, -0.6268812];44.8093018;-0.6268812
374;451. La Jeune Garde Bordeaux;68 avis;Française;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d10225108-Reviews-La_Jeune_Garde-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française;;451. La Jeune Garde Bordeaux;4.5;[44.8303538, -0.5659142];44.8303538;-0.5659142
375;452. Restaurant Africain Chez Oumie Villenave d'Ornon;42 avis;Africaine, Bar à vins;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g1025628-d12731900-Reviews-Chez_Oumie-Villenave_D_ornon_Bordeaux_Gironde_Nouvelle_Aquitaine.html;Africaine; Bar à vins;452. Restaurant Africain Chez Oumie Villenave d'Ornon;4.5;[44.7663433, -0.5797806];44.7663433;-0.5797806
376;455. Marcel Bistrot Bordeaux;201 avis;Française, Européenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d7339907-Reviews-Marcel-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;455. Marcel Bistrot Bordeaux;4.0;[44.8405421, -0.5796301];44.8405421;-0.5796301
377;456. Buenavida;44 avis;Internationale, Espagnole;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d14788593-Reviews-Buenavida-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Internationale; Espagnole;456. Buenavida;4.5;[44.8386024, -0.5767383];44.8386024;-0.5767383
378;457. Monzù Promenade;39 avis;Italienne, Pizza;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d23801402-Reviews-Monzu_Promenade-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Italienne; Pizza;457. Monzù Promenade;4.5;[44.8395106, -0.5748019];44.8395106;-0.5748019
379;458. Restaurant l'Echarpe Bordeaux;61 avis;Marocaine, Moyen-Orient;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d1325433-Reviews-Restaurant_l_Echarpe-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Marocaine; Moyen-Orient;458. Restaurant l'Echarpe Bordeaux;4.5;[44.8535022, -0.5718589];44.8535022;-0.5718589
380;459. L'Amaryllis;295 avis;Française;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g662282-d1334974-Reviews-L_Amaryllis-Eysines_Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française;;459. L'Amaryllis;4.0;[44.8626849, -0.6539519];44.8626849;-0.6539519
381;461. L'Othentic Bordeaux;36 avis;Française, Saine;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d17707081-Reviews-L_Othentic-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Saine;461. L'Othentic Bordeaux;5.0;[44.8350319, -0.5648466];44.8350319;-0.5648466
382;462. Restaurant Le Lotus Bleu Bordeaux;64 avis;Asiatique, Vietnamienne;€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d7063825-Reviews-Le_Lotus_Bleu-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Asiatique; Vietnamienne;462. Restaurant Le Lotus Bleu Bordeaux;4.5;[44.8362244, -0.6032257];44.8362244;-0.6032257
383;463. Restaurant Beija flor Bordeaux;229 avis;Brésilienne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d797573-Reviews-Beija_flor-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Brésilienne;;463. Restaurant Beija flor Bordeaux;4.0;[44.8308227, -0.5773217];44.8308227;-0.5773217
384;464. Alfama Bordeaux;104 avis;Portugaise, Européenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d7147194-Reviews-Alfama-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Portugaise; Européenne;464. Alfama Bordeaux;4.0;[44.8137782, -0.5670075];44.8137782;-0.5670075
385;466. La Table d'Arcins Bègles;411 avis;Française, Européenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g226847-d11719006-Reviews-La_Table_D_Arcins-Begles_Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;466. La Table d'Arcins Bègles;3.5;[44.7904336, -0.5375257];44.7904336;-0.5375257
386;467. Restaurant Quartier Libre Bordeaux;152 avis;Française;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d8810352-Reviews-Quartier_Libre-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française;;467. Restaurant Quartier Libre Bordeaux;4.0;[44.8323815, -0.5652254];44.8323815;-0.5652254
387;471. Cambodge Eat;58 avis;Asiatique, cambodgienne;€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d13220589-Reviews-CambodgEat-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Asiatique; cambodgienne;471. Cambodge Eat;4.5;[44.8413354, -0.5585288];44.8413354;-0.5585288
388;472. Pokéo;47 avis;Japonaise, Asiatique;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d16707850-Reviews-Pokeo-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Japonaise; Asiatique;472. Pokéo;4.5;[44.840905, -0.5743448];44.840905;-0.5743448
389;473. La Cuisine de Vivien Talence;27 avis;Française, Saine;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g1055933-d21322296-Reviews-La_Cuisine_De_Vivien-Talence_Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Saine;473. La Cuisine de Vivien Talence;5.0;[44.8119199, -0.5905911715593062];44.8119199;-0.5905911715593062
390;474. Le Bistrot d'Antan Bruges;133 avis;Française;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g1180991-d4132821-Reviews-Le_Bistrot_d_Antan-Bruges_Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française;;474. Le Bistrot d'Antan Bruges;4.0;[44.883596, -0.6163607];44.883596;-0.6163607
391;475. La Brasserie Bordelaise;3 257 avis;Française, Européenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d1441168-Reviews-La_Brasserie_Bordelaise-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;475. La Brasserie Bordelaise;3.5;[44.8411818, -0.5730011];44.8411818;-0.5730011
392;476. Restaurant Le Mably Bordeaux;322 avis;Française, Européenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d1224795-Reviews-Le_Mably-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;476. Restaurant Le Mably Bordeaux;4.0;[44.8428421, -0.5761757];44.8428421;-0.5761757
393;478. Ebisu Ramen Bar Bordeaux;86 avis;Japonaise, Asiatique;€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d12856915-Reviews-Ebisu_Ramen_Bar-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Japonaise; Asiatique;478. Ebisu Ramen Bar Bordeaux;4.5;[44.8319484, -0.5729593];44.8319484;-0.5729593
394;479. La Soupe au Caillou;77 avis;Soupes, Française;€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d3569404-Reviews-La_Soupe_Au_Caillou-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Soupes; Française;479. La Soupe au Caillou;4.5;[44.8322361, -0.5667509];44.8322361;-0.5667509
395;481. Poké Poké Bordeaux;32 avis;Saine, Hawaïenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d17711629-Reviews-Poke_Poke-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Saine; Hawaïenne;481. Poké Poké Bordeaux;5.0;[44.8366788, -0.5710523];44.8366788;-0.5710523
396;482. Restaurant ZAL;25 avis;Française;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g1939141-d21287376-Reviews-Restaurant_ZAL-Le_Taillan_Medoc_Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française;;482. Restaurant ZAL;5.0;[44.9067619, -0.6700023];44.9067619;-0.6700023
