;Restaurant;Avis;type_cuisine;fourchette_prix;link;type_cuisine_1;type_cuisine_2;restaurants;note;localisation;lat;lon
137;162. Restaurant Grill Maison Darnauzan Bordeaux;419 avis;Française, Barbecue/Grillades;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d10948199-Reviews-Restaurant_Grill_Maison_Darnauzan_Bordeaux-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Barbecue/Grillades;162. Restaurant Grill Maison Darnauzan Bordeaux;4.5;[44.8413981, -0.5716082];44.8413981;-0.5716082
138;163. A Cantina Comptoir Corse Bordeaux;690 avis;Française, Méditerranéenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d2705757-Reviews-A_Cantina_Comptoir_Corse-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Méditerranéenne;163. A Cantina Comptoir Corse Bordeaux;4.0;[44.839209, -0.5705668];44.839209;-0.5705668
139;164. Restaurant CHEZ DUPONT Bordeaux;973 avis;Française, Européenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d808947-Reviews-CHEZ_DUPONT-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;164. Restaurant CHEZ DUPONT Bordeaux;4.5;[44.851001, -0.5718776];44.851001;-0.5718776
140;165. Restaurant Les Voûtes Bordeaux;772 avis;Française, Européenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d1224628-Reviews-Les_Voutes-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;165. Restaurant Les Voûtes Bordeaux;4.0;[44.8406111, -0.5704953];44.8406111;-0.5704953
141;167. Restaurant Italien Casa Ferretti Barrière de Pessac;329 avis;Italienne, Méditerranéenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d5263051-Reviews-Casa_Ferretti_Bordeaux_Barriere_De_Pessac-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Italienne; Méditerranéenne;167. Restaurant Italien Casa Ferretti Barrière de Pessac;4.5;[44.818923, -0.600595];44.818923;-0.600595
142;168. Contrast;145 avis;NaN;NaN;https://www.tripadvisor.fr/Restaurant_Review-g187079-d13509422-Reviews-Contrast-Bordeaux_Gironde_Nouvelle_Aquitaine.html;NaN;;168. Contrast;4.5;[44.8421821, -0.5718287];44.8421821;-0.5718287
143;169. Edmond Pure Burger;566 avis;Américaine, Restauration rapide;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d5058799-Reviews-Edmond_Pure_Burger_Victor_Hugo-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Américaine; Restauration rapide;169. Edmond Pure Burger;4.0;[44.8348848, -0.5745093];44.8348848;-0.5745093
144;171. Restaurant Le Marrakech Bordeaux;379 avis;Marocaine, Méditerranéenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d1017909-Reviews-Restaurant_Le_Marrakech_Bordeaux-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Marocaine; Méditerranéenne;171. Restaurant Le Marrakech Bordeaux;4.0;[44.8414454, -0.5714738];44.8414454;-0.5714738
145;172. Wanted Café;105 avis;Française;€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d16178058-Reviews-Wanted_Cafe-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française;;172. Wanted Café;4.5;[44.8307892, -0.5667917];44.8307892;-0.5667917
146;174. Restaurant Fellini - Bar, Pizzeria, Trattoria;276 avis;Italienne, Méditerranéenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g226847-d4562462-Reviews-Restaurant_Fellini_Bar_Pizzeria_Trattoria-Begles_Bordeaux_Gironde_Nouvelle_Aquita.html;Italienne; Méditerranéenne;174. Restaurant Fellini - Bar, Pizzeria, Trattoria;4.5;[44.8130503, -0.5524206];44.8130503;-0.5524206
